School Name,Address,Image,Educational System,Educational Stages
 مدارس التعليم المتطور العالمية,مخرج 1 - حي النخيل الغربي - شارع جيل جزاز متفرع من طريق الملك خالدالرياض,https://schoolynetwork.com/images/sobipro/entries/211/thumb_17342703_10154663187934011_7666701361405532239_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس النهضة العالمية,مخرج 12- حي الروضةالرياض,https://schoolynetwork.com/images/sobipro/entries/184/thumb_images.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس الجودة الأهلية,مخرج ٩ بجوار النخيل مولالرياض,https://schoolynetwork.com/images/sobipro/entries/174/thumb_twitter-01.jpg,أخرى,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس نافذ العلوم العالمية,الرياض – الروضة – حي القدس تقاطع شارع العروبة مع الدائري مخرج 11& 12الرياض,https://schoolynetwork.com/images/sobipro/entries/244/thumb_30629930_10155769558134011_7474323392320661375_n.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس رواد المدارات العالمية,الخبر - مخرج الرياض - حي العزيزيةالخبر,https://schoolynetwork.com/images/sobipro/entries/206/thumb_logoOPIS.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس معارف المستقبل العالمية,- الموقع – مخرج 10 – حي الخليج  – شارع عمارة بن الوليد متفرع من شارع عبد العزيز بن بشر   -location,https://schoolynetwork.com/images/sobipro/entries/282/thumb_26196289_10155515863479011_3006433772802117299_n.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 المدرسة العالمية الإنجليزية,حي النسيممكة,https://schoolynetwork.com/images/sobipro/entries/130/thumb_ges_logo.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس نافذة المستقبل العالمية,مخرج 4 – حي العقيق – شارع السليمانية – متفرع من طريق الامير محمد بن سعد .الرياض,https://schoolynetwork.com/images/sobipro/entries/222/thumb_26168703_1794713970541479_4983392640944559737_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس سعود العالمية,الرياض – حي العليا - شارع حميد الطويل – مقابل لوكاليزر مولالرياض,School Has No Image!,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس لغات جدة العالمية,جدة - حي المشرفة - طريق الامير متعب بن عبدالعزيز، متفرع من بني مالك،جدة,https://schoolynetwork.com/images/sobipro/entries/264/thumb_31250656_10155798788899011_8600814989886375137_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي']"
 مدارس مناهل الجيل العالمية,الموقع - مخرج 6 - حي النفل - شارع الهضبة - مفترع من طريق أبو بكر الصديق.الرياض,https://schoolynetwork.com/images/sobipro/entries/227/thumb_18423858_10154834405534011_1782581328717418282_n.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس دلتا العالمية,- الموقع - مخرج 4 - حي المروج - شارع الحفصيون - متفرع من شارع الامير تركي بن عبد العزيز الثانيالرياض,https://schoolynetwork.com/images/sobipro/entries/219/thumb_17630085_10154708299109011_8620607143356088146_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس سما الرياض العالمية,حي الوشام - شارع زياد ابن الوليد بجوار مبني التليفزيون  Alwasham district – zeyad ibn Alwaleed Street – besides television buildingالرياض,https://schoolynetwork.com/images/sobipro/entries/179/thumb_sama-logo.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس نافذة المستقبل العالمية,مخرج 4 – حي العقيق – شارع السليمانية – متفرع من طريق الامير محمد بن سعد .الرياض,https://schoolynetwork.com/images/sobipro/entries/222/thumb_26168703_1794713970541479_4983392640944559737_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
